keys,en,pl
PLAY,Play,Graj
CREATE_LEVEL,Create Level,Utwórz Poziom
WORKSHOP,Workshop,Warsztat
ACHIEVEMENTS,Achievements,Osiągnięcia
SETTINGS,Settings,Ustawienia
EXIT,Exit,Wyjdź
RETURN_TO_MENU,Return to Menu,Wróć do menu
LEVEL_CREATOR,Level Creator,Edytor poziomów
VIDEO,Video,Wideo
KEYBINDS,Keybind,Sterowanie
RESET_TO_DEFAULT,Reset to default,Resetuj ustawienia
VOLUME,Volume,Głośność
MOVE_UP,Move Up,Ruch w górę
MOVE_DOWN,Move Down,Ruch w dół
MOVE_LEFT,Move Left,Ruch w lewo
MOVE_RIGHT,Move Right,Ruch w prawo
FULLSCREEN,Fullscreen,Pełny ekran
LANGUAGE,Language,Język
GENERAL,General,Ogólne
